@relation social_media_sentiment

@attribute text string
@attribute sentiment {positive, negative, neutral}

@data
"I`m afraid your comments on MP`s expenses were hopelessly out of touch with the average person average salary. V.insensitive", negative
"? MADAYA KA CHRISTIAN. BLEH!!! I HATE U  http://plurk.com/p/wy2yg", negative
"ooo how i love a bank holiday  x", positive
"**** night. want john  where is he?", negative
"This is dedicated to all those moms out there - Happy Mother`s Day  ? http://blip.fm/~5z2g9", positive
"Bout 2 Miss Mah Lakers Play 2day...  This Orange Box Is **** Up The Rotation!.. Mah Real LA Fam.. Keep Me Posted!.. I LOVE HATERS 2!!", neutral
"the play`s over, it was really good", positive
"OUCH!!!!!!!!!!!!!!!.........that really hurt!!!", negative
"at work!! Agh I really need to go with you  what days do you go so that I can add it to my schedule!", positive
"[H]ouse starts on Sunday and I`m sad as I can`t afford Sky,", negative
"is thinking WOW I survived Freshman year...Mission Accomplished...Now Sophomore year", positive
"If my phone dies I will die too!", negative
"will miss jay leno ..", negative
"I think I`ve heard of that song. I`ll listen to it tomorrow.", neutral
"We`ll be moving from a strength to a hypertrophy phase for chest, back, shoulders and arms for the next few weeks. Legs will stay behind", neutral
"happy mothers day to all..im gonna help mine right now.she deserves it..you guys should too..", positive
"I`ve got to catch the bus to work", neutral
"have to put my dog down tomorrow.", neutral
"Today was not an inspirational photography day  #photography -  http://twurl.nl/jnizbw", negative
"YES!! I made the sign when i noticed it missing on Sunday! So far, no luck... It`s now Unlucky Japanese Cat...", negative
"I know!!  effing embarrassing! Eff our lives", negative
"Bar exam madness:  topic for today is torts", neutral
"Just got out the shower, Sitting on my towel  I Hate TwitterBerry I Can`t Reply To Tweets", negative
"more seo voodoo  Google has your cache. NOARCHIVE only hides it from users.", neutral
"#BGT Quite an awkward moment, poor girl  I hope she doesn`t loose it again.", neutral
"At work again, when the weather is beautifullll", neutral
"good morninï¿½everybody  happy mothers-day to every mom", positive
"My mom has annoyed the living **** outta me, so now we`re on AOL Radio, looking for Brooks & Dunn.", negative
"Flat is sparkling clean, now that`s team work  on way to pick up food for 6!", positive
"This is what I have to give a 7 day old baby  poor thing  http://yfrog.com/6pwwlj", negative
"resistance was futile! Needed pretties to knit with", negative
"i need to see ...now! someone buy me a plane ticket, please?", neutral
"You guys can make it through!", neutral
"awww thanks Jon! My 9yr old told me I was to sleep in, while they all clean the house.. best mom`s day present ever!", positive
"just got home from Tillie`s dance recital. lol, it was spectacular!", positive
"tut tut. Isn`t charging just fun. Thr new palm pre charging platform looks nifty tho.", positive
"Going to work.  Could use some happy pills", positive
"Jacqueline Wilson day on CBBC", neutral
"Iï¿½m good! You coming on just as Iï¿½m off to drive home...", neutral
"I know!! our cats could be family  mikesh is so cute!!", positive
"don`t you hate it when you finish all your work and there`s still 1.25 hours left of work time", negative
"Ouch! Sunburn`s bad! Hope it`s not to sore on your bedding, that`s always the problem.", negative
"sad day... told my students this is my last year here... a lot of crying since..", negative
"m still watchin Boston Legal tho it cracks me up 2, scrubs earlier was good  i guess i just like a laugh!!!", positive
"My logic to getting a short prom dress? Last year it was so freaking hot I was dying... Look at the weather...  hahah just my luck", neutral
"jen! we havent talked in like 3 days!", negative
"you givein lady ga ga arun for her money in that get up hee hee love it", positive
"that plain sux. kinda like cheers goin off the air.", neutral
"Today is just not my day. I can`t seem to feel any better. If i dont eat, im hungry. If i do eat, i feel like im gonna be sick. Blah", negative
"i need sweets, drank my cyderrrrrrrrr", neutral
"Out if class!! Yow party + four hour lecture don`t mix attal!! I had to drink 3 red bulls & I`m still sleepy .,,,,smh! Alrite bedtime", neutral
"yea. I was off today luv. I shudve told u.   anything exciting happen yet. And I saw u last night", positive
"pmg im very upset no just relasie hugh laurie isnt on  **** ohh", negative
"it does but the screen is dark - so when i click it, i hang up on whoever im talking to", neutral
"I want it NOW..  finally found what I wanted ..", positive
"Has finally taken a shower after much distraction from twitter and the bubble wrap off to read  and drink a smoothie", neutral
"Heehee, how did you know who I was talking about?", neutral
"_Zol I would like to make a comment about the password but I can`t on this medium", neutral
"editing something in photoshoot  NILEY", neutral
"Yogulicious? another sour sally competitor", neutral
"yeah I was like oh oh oh yeah that`s it but then she said no  lol bummer", neutral
"they did,", neutral
"Good luck with the footage - none of the stations are breaking in live with it", positive
"i know!! No money for pedicures!!", negative
"_Star95 oh so you know how I feel then  **** representative for bank of america tried to make it sound like I did it. What a b ...", negative
"really?  wooooo! I wish i could go to indonesia! Lol. Hopefully next summer.", positive
"well just remember that tmrw is another day and hopefully won`t be as craptastic. sorry girrrrl", neutral
"I missed you yesterday, Lacey.    We get to go to granulation tonight, though.", negative
"assumes it wasnt so taboo to start an email with 'LOL' considering that the reply it got started with 'ROFL. PWN3D.' I love the internet!", positive
"It means 'luv ya' in Zulu/Xhosa. Probably spelt it wrong lol. Can`t b creative 2day ...tired  so translated", neutral
"i got too do course work   i hate it it is hard this one", negative
"working today.  Can`t find my key so I had to borrow Miranda`s.", neutral
"With My Boy Still  He`s everything to me", neutral
"..people you love.... wait i am not there", positive
"Awwwww!!!! And the gorgeous photo from California!!! You two make me melt!!!", positive
"lol, Thanks for the morning Chuckle   Not sure if you follow me? Please check..", positive
"Happy Mother`s Day Mommies", positive
"Went to see 'UP'. It was a really good movie that pulls at the heart strings  i highly recommend it", positive
"awww  omg garbo fake playing during one of the songs!!! haha", negative
"Perfect! Thank you.  <3<3", positive
"BYEEEEE!!!", neutral
"dear michael sorce, you crack me up! sincerely, me", neutral
"i hope you feel better", positive
"well us Brits have to wait a few more days for it!  I thought it was all gonna released at once! I guess it`s worth the wait!", neutral
"Yah, they have footlong sausage too mah. But Halal place..piggy sausages are bigger", neutral
"Getting ready for an early night tweeps!   Have a great one every 1", positive
"I could act in most Buffy eps  I have seen them so many times, but s1 was shaky (apart from eps 1,2,6,7 & 12)", neutral
"great show today", positive
"wants to go to walmart. but won`t go alone", neutral
"'Ooh-ooh... it`s SHINY'. An dmore awe-tastic quotes from THE BEST ANIMATED MOVIE EVER coming up", positive
"back home early for once  - wow this thing is getting addictive..................**** u phil XD", positive
"****. My friend`s in such a state and I don`t know how to help him. Nothing I say seems to be helping and I wish I knew what to say", negative
"my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo", negative
"aha, so that`s you.  I`ve been meaning to take a look. Looks cool. If you could just get a pool in there", positive
"Hi Selena i made this team to support you in Greece and Cyprus", positive
"i`m with you in this.  i`ve always have prob prioritizing myself ahead of him.", neutral
"_**** :O really  well if u want, we can go 2gether next yr?", neutral
"Maybe you have, my memory sucks.", negative
"Grey`s `Sweet Surrender`  http://tinyurl.com/d5mjyj", neutral
"currently working on the SDP`s Prototype.... so much to do...", neutral
"Hi tweete, surprised to see everyone still up...maybe it`s the full moon", positive
"Hope you feel better soon and check out my cool backround on my profile", positive
"Hey, im chillin right now, gettin ready for school   Mohawk Kidd", positive
"i feel extra-nauseous all of a sudden, like my stomach wasn`t ready to resume peristalsis after the events of two nights prior", negative
"youre not going, are you   ?", neutral
"I`m gonna miss them so much  I`m crying right now... :/", negative
"do u hav a garden? bunny probs r decidedly uncool.   thanks 4d link!", neutral
"totally agree, but she always seems to be henpecking John, even before the cheating thing", neutral
"Love is an air-conditioner on a hot day...a heater on a cold day...and a warm body in bed any day  -  yep, me again", positive
"and I have a gentleman`s agreement: Whoever wins the first match (or is it best of three?) pays for the other person`s copy.", neutral
"is thinking so much and i`m at work", neutral
"What was the compiment? I`m glad you`re having a good time.", positive
"It turns out I`m really, like, sixty years old, guys. You were right!!!!!  I`m off to seek my future a little later than planned!", neutral
"To make it worse, its my friends party tonight, and I`m stuck here. I haven`t seen her for months", negative
"watching shark boy and lava girl! on disney channel. hanging out with sarah jane, micah, & rachel", neutral
"my head is hurting..", negative
"I know!!!! He didn`t ask me", neutral
"Photovia secondstar05) i dreamt i was doing spells from harry potter yesterday night lol  i loved it. http://tumblr.com/xyt1qynya", positive
"Oops that would be #edaust09", negative
"Crawling into bed super happy that the Penguins won tonight", positive
"really ill atm", neutral
"my party is wiped out they be all dead and stuff", negative
"its about to storm..soo much 4 goin out  ..ill just play on the net for awhile", neutral
"I think I should... But with who? Hmmmm. Maybe a friend in ALASKA", neutral
"Ah GDit! Ranger game this afternoon", neutral
"ahh that would rock", neutral
"is enough time!! (if i get into VIP!) but i know that doesn`t make up for it  at least they`ll have each other!", neutral
"Hi! Im Barb frm IA. New to tweetin. Enjoy reading ur tweets. U seem like a wonderful person..I KNOW ur a wonderful actress", positive
"Hey girl!  Yeah, my allergies kick in at the most random times. Hmph.", negative
"um... thats my favorite beer!! why must you torture me so when I can`t make it down there!!", neutral
"No, trying to reason with it. It didn`t listen", negative
"I will, n btw happy mothers day sissy", positive
"Have been rolling on the bed for the past 2 hours ... Still unable to sleep", neutral
"As much as we would love that, it is hard to make ends meet up here ... with the job situations and all...", neutral
"June gloom seems to have arrived early", neutral
"I work in one hour", neutral
"cuss u siad u weren`t having it...lol", neutral
"... thanks everybody for your wonderful feedback re my Happiletter", positive
"You are welcome.", positive
"http://twitpic.com/4jkvh - I wasn`t bored really..  my redd converse. I love converse.", positive
"Very very interesting night in Defiance to say the least... but hey, I got `Guys and Dolls` for free!", positive
"_Rocks Just spurted Fanta out of my mouth laughing at that!", neutral
"hope you have a great day tomorrow!!  happy mothers day!  let us know what you did", positive
"Don`t tease me! I`m in desperate need of an adjustment.", negative
"OHH  yeah i sometimes forget  your in the other but cheek ok america", neutral
"well, the customer is always right (at least that`s what they tell me)", neutral
"sore head..hope my girls ok", neutral
"Alas, we can`t broadcast the lunches as we have no bandwidth in those rooms", negative
"Back at home,11 hours till work", neutral
"That may be, I still don`t like hearing his name so much.   #blackhawks #canucks", negative
"i got talent too  u nvr hear me sing or dance them does call me Mini Breezy", neutral
"Bah I don`t think `s FB fan page will get to 7500", negative
"Last night was fun w the lightening and thunder  Today will be in the 90s", positive
"Reading, cryin, reading, laughin...  Enjoying the ride while being enlightened and inspired by letters to a young sister!!  Thx Hill.", positive
"Ahh man, and im off NEXT weekend", neutral
"Apperently ea knows my copy of the sims 3 is not legit and is upset", negative
"Thanks!  Your name strikes me every time I see it, as a friend of mine uses belofsouthie as her email", positive
"_ thats coz we love you", positive
"Here`s getting cold.. And I got my coffee break 2 minutes ago. Enjoy your drink", positive
"Finally out of school for today! HAD TO SIT IN LIBRARY FOR A LONG TIME", negative
"at home. have very sore feet. and am sad because the sale of my grandas house just went through. miss you", negative
"are you are a RIOT!!", negative
"ooohhh imma need you to get on that asap love you", positive
"i know... I don`t want to be left in our home by myself during the weekend...", negative
"Gonna get my ticket to Las Vegas today. Gotta check my milage. Can`t wait till August", neutral
"Grrr. We don`t finish until July 3rd.", negative
"I Love This Song lol, You`re amazing Steph , xoxo", positive
"hey thanks mate your cool coz you watched it...", positive
"i messed up my back/hip. it hurts so bad", negative
"My arms hurt", negative
"oh ok  good ... now i will jump for joy! M, you just made my day", positive
"The moon is sooooo pretty", positive
"I have too much homework to do today", negative
"workin at la bootay... wheres the warm weather at???", neutral
"depressed; my best friends pissed @ me", negative
"yes........there are many cool things americans cannot watch", positive
"._.; Thanxxx ! Now with that message I just wanna leave !! )= ! BYE !", positive
"so thats how u spent ur weekend so far?", neutral
"done with the fkn exam! n just bought the mothers day gift, finally... tada! the new prada fragrance  going to meet up mum n fam now : ...", neutral
"school is so pointlesss. seriously though. 7 days of school left and all we do is watch movies and make powerpoints. let me leaveeee", negative
"Have a good day", positive
"Caan`t Iht Be Earlier? ICant Wait That Long.  Ahar. (:", negative
"happy mother`s day everyone", positive
"weekend along with the summer is here so why do I feel sad?", negative
"just going to cook some lamb chops for lunch - I always end up coking just before pay day and amaze myself at how much I can cook", positive
"getting off for the night, in such a great mood!", positive
"From the champion team in the defunct MBA, Cebu Gems!", neutral
"Hate this song  ? http://blip.fm/~5jg6f", neutral
"ooo enjoy  and thanks for looking out for ours", positive
"partied w/  @_SML, elitecamp, rock steady crew + the ladies (wow), and of course crazy legs - holla! lmao - sober. totally sober", neutral
"Snap. Breaking out again", negative
"I buy the team Zotz and they decide to roast me.", negative
"hey  sending some Florida sunshine your way  Supertramp ï¿½ It`s Raining Again ï¿½  you m... ? http://blip.fm/~5jucn", neutral
"- arrggh kids that won`t settle....need some Kava for Liam, that`ll sort `em...", neutral
"_ it just upsets me , becasue like 6 years we have loved them .. and then this happens  imm really uset now x", neutral
"honestly, why did the folks at Microsoft do MS Word 2007 to me?  I can`t believe I just spent 10 minutes finding auto correct options", neutral
"_dazzles Well tonight would be a good time to watch.", positive
"I`ve listed lots of new beads on eBay!", neutral
"bath time", neutral
"fuckkk i need sleepppppppp lol, happy mothers day mummy", neutral
"Good movie.", positive
"ah! NFG were super amazing! Jordan is `pretty legit`!! Can`t stay longer 2 meet everyone cuz we hv 3 hour drive home!", positive
"still shopping and looking for shoes now", neutral
"Dump your worries in the Stress Fire. Fun and profoundly freeing  http://budurl.com/c765", positive
"A central lesson of history is that States are parasites which always expand until they destroy their host population. - Stefan Molyneux", negative
"whaatttaatttt! she is a good cook and really creative, silly sierra", positive
"i didnt get a hug today", neutral
"finally gone!!!", positive
"Took yesterday off & treated myself to an outfit & shoes, I have not treated myself in a while, my mothers day gift to me", positive
"lucky girl!!! I work all day tomorrow! and maybe even Monday!!", positive
"RIP Michael", negative
"_KONG Record Grand Prix to skip through later, watch Man U game, Radio 1 .... well sport comes first", neutral
"Dont worry man. You`ll see me just as much this week as you did last week.", positive
": i miss you", negative
"mama the boys gon be sweating her hard in Pre K  lol muah", neutral
"SICK again", negative
"wishing I were somewhere else besides here!!  Don`t worry this won`t dampen my day and neither will the rain", positive
"Aniya666 yours wasn`t there", neutral
"_21Thanks, I`ll keep working on her    lol good idea!", positive
"Season 2 of The Wire, done! Kinda weak compared to the first season but I expected that... Still good though  Season 3 here I come!", positive
"_rashid aww how cute  I like that song a lot", positive
"Haha! Night man, and no, but Im sure I`ll meet her again in my lifetime, in fact I will...no doubt about it.", neutral
"I totally forgot thats its friday till I read `s tweet. Ha. I feel dumb  *Take A Breath*", negative
"The article on language groups in spaceports looks really cool, but i can`t open the site from that link.", neutral
"Teehee..I know it too!", neutral
"Not a happy camper  not having a good day at all...", negative
"how`s the translation going?", neutral
"New pic.... Twitter is finally letting me change my pic.  For those that missed it, Fannish Inquisition is now  please follow", neutral
"Ok. Night sweet people  I`ll look for ya tomorrow", neutral
"Cuba trip booked", neutral
"check out the Conchords `Business Time`", neutral
"Ashlie, thank you.  You made me feel a little better.", positive
"oh darn i`m not in london", negative
"Nah, they don`t. All my Twiter followers are fabulous.", positive
"strange, that is exactly the chapter god laid on my heart to read in The Message yeaterday morning...He works in mysterious ways", neutral
"feels very, very rough!", negative
"having a great mothers day", positive
"thanks for adding, no befriending, no, uh oh never mind, Thanks!", positive
"yep,raced round it in cars and bikes,its only 40mins away,dont av much motorsport there now,its more planes n choppers now", neutral
"hello nikki! i just ended my exams 2 hours ago!  how abt u?", neutral
"Supernatural was mega good  Now I`m off to bed, urgh long day of school tomorrow x", neutral
"its like a little adventure, only Im kinda worried about her, and I cant take the bus to where she is cos my oyster is broken", negative
"Still at work.", neutral
"Finally home  Gonna hit the hay n sleep till noon lol", positive
"add me up: http://profiles.friendster.com/americanidolislove  friendster.", positive
"You want ittt, you got ittt!", positive
"haha! thanks, Tiff   it went well, but they WORE ME OUT!!! lol. im too old for this ;)", neutral
"_fann coming up! Sowwy!", negative
"well, I took it in early `00, graduated in `01. we were the final stage guinea pigs  it seriously is a waste of time.", negative
"http://twitpic.com/4jcfg - About to cycle within this quarry on Shipley glen near Baildon moor before heading back through the woods", neutral
"dude i am so sorry!!!!! I never got that number for you my fail  i just remembered", negative
"Argh, I can`t avoid spelling bee spoilers anywhere! Now I know the winning speller and word before having actually watched the bee.", neutral
"is exhausted from a great weekend, and is looking forward to this week", neutral
"I like all the songs  I can`t say just one guys! love ya", positive
"Disappointment really sucks!  I`m getting used to it.", negative
"Can not afford the DR this year. I just can`t pull it off this time.", neutral
"having a F**Kin` great day over there Graham isn`****", positive
"i think the vog is making me sicker than i think. feeling slightly achy", negative
"Just got back from the grocery store. Now I`m starving and can`t find anything to eat!", negative
"has an exam at 10am - I slept about 3 hours last night", neutral
"that sounds great right about now. It`s ridiculously hot in my house", neutral
"Healthy Wishes. I may just start saying that.", positive
"Iï¿½m JBobsessed  xD I miss them soooooo much!  They should have a live web cast on bookface ?  EVERY thursday xD", negative
", Whered you end up going? I stayed in & watched SNL, one of the funnier shows theyve done this season.", positive
"I am totally knackered and back in the meeting", negative
"I need to cancel my appt for 1 have to be home from1-5 for washing machine repair man can I do on the am? So sorry", negative
"God the weather in London is ammmmazing! Yet I`m on a train half the day", positive
"I only ever seem to listen to Dirty these days. Most of our CD`s are still at Greg`s parents", neutral
"I always choose to be a good guy, even if I know its only a game, i feel a bit bad doing evil things", neutral
"its friday & every1 has plans but me..my mom is laser tagging w/ friends(haha)My brother is out..my sister and dad r working me-bf=alone", neutral
"OMJ JUSt qOt HOME fROM tHAt PARty! it`S 2:OO a.m! i`M MAN tiRED! GOODNiqHt AND HAPPY MOtHER`S DAY 2 ALL!!! tAkE CARE & GOD BlESS!", neutral
"have your own style. it just might work.", positive
"...OOOPS AGAIN, the reply button is the RIGHT of the msg...now I`ll stop spamming", negative
"Changing Guitar strings.. Getting Ready To Perform `THE CLIMB` at my cousins birthdayy", neutral
"_ yeah", neutral
"If I loved this any more I`d streak thru the hood damnit ! I`m pumped", neutral
"Is still stuck in the office working!", negative
"by the way, it`s INconvenient...", negative
"@_hayles yer there must be-not sure tho-caught it off my brother but got it worse", negative
"_ - hey there.    How was your day?", neutral
"Getting ready for our annual old boys hockey competition  let`s bring down the students!", neutral
"'arrest her' or, anything ending in -est that can be done to her.", negative
"Thanks for tweeting a very useful set of refs - I`m in the middle of adding them to a chapter I`m editing", positive
"Very nice!  Bea and I are so bummed we can`t make it   We should try and get together in the near future.", positive
"Hello there! Thankyou. I always seem to make a difference in  someone`s life everyday.", positive
"I want to wish all the Mommy`s a happy mothers day!", positive
"Thanks for the reminder Tony", positive
"just clicked on your bio. You`re in Cantazaro!? Have been to Italy several times. But never Calabria!", neutral
"gahh!! i`m so tired right now.", negative
"_ashley OH REALLY?!", neutral
"_d ...I`m so happy for you guys! COngratulations!", positive
"heyyy girl.. havent tweeted u all week. hope all is well with you", positive
"_Marls Nah I got bare work to do, 3 weeks left and I`m bare behind", negative
"My wand? It`s a black hawthorn wand with a core of kraken heartstrings.  You?", neutral
"Worried about Bry, he has bronchitis and a sinus infection   Poor baby.", negative
"Nofair! My BK only had Uhura and Nero left.", negative
"lay by the pool and take a nap. my agenda for the day", neutral
"Yeah. Me too. Will lookout on your tweets too. Happy Tweeting", positive
"ready for a day full of His presence  i`m expecting the best!", positive
"good catch!  Thanks a bunch- have to put up a new widget.", positive
"just got home from dinner and am really really full. my mom said my dad bought me a sony a200k? holyyyyyyy", positive
"Having first beer in over 8 days what has happened to me and Im only having it cause Miss 8 wanted to get me one for mothers day.", negative
"... much more injustice than we can imagine now. It will get worse before it gets better, I am afraid. No doubt here. Sorry", negative
"That is really sad", negative
"http://twitpic.com/3x3wq - impossible to know them closely", neutral
"SS & i r @ the devon horse show. gettin` mostly rained out. lots of events have ben cancelled incl the coaches", neutral
"IIII know!!! and mean", positive
"feels like spammers season .....is called summer season", neutral
"making margaritas and about to watch Milk. Good times", positive
"Ugh! I have to beat this stupid song to get to the next  rude!", negative
"now cassidy is butcking that i am **** lol cant ever win", neutral
"- We drank ours away, May Day Bank Holiday today", neutral
"feeling nice... got a big **** smile on my face for no reason   take my **** to sleep right? lol", positive
"iPhone just fell", negative
"Hav fun at heav y Metal happy hour you guys! In the future  accadentally sets it on fire while smoking with", negative
"You`re right- you don`t do sympathy very well", negative
"Eh, I`ve gotta go to bed anyways. Goodnight.", neutral
"wow... that was very sexy", neutral
"1 surprise party today, 2 parties tomorrow.  FunFunFun! But, need to finish bug project. O_O", positive
"Ha-ha abbreviate it , so it`s not so bulky", negative
"I gave up following  - She seems really nice but clutters the hell out of my feed.  It got annoying.", neutral
"You should spray yourself with the non smelling repellant that stinks to high heaven", neutral
"I am new here", neutral
"my knees are sore after physio", negative
"Ugh that walmart was so hot and white  is it wrong that I can see how people become agoraphobics?", negative
"yearling in pet home died... very sad for their whole family", negative
"aw you could have played the **** game with me this morning! Nobody else wanted to play", neutral
"Going home... with sore #eyes", neutral
"Good morning universe, how are you today", positive
"I want to SOOOOOOO BAD!!!", neutral
"I bruised my toe worse than my I did my finger. It **** hurts right now even with ice on it", negative
"aw thank you sam phil, i love you", positive
"The rest of the week is less than 2.5 hours long", neutral
"also, Lipton`s Sparkling Green Tea is gross", neutral
"you are a slow answerer!", negative
"WOw, that`s a lot of work.  I hope today is a day off for you.    I`m working as usual.  But, getting some playtime in too.", positive
":   whatcha reading?", neutral
"lets see.. we hate that groupies are **** near stalkers.. we love that they send gifts..", neutral
"Working on several book projects that are due to be released within the next few months.  I need an extra pair of hands!  It`s all good...", positive
"So glad the days almost over... Another nite of me nd my pain pills alone at the crib lol. Ughh I wish this weekend was over alreadi!", negative
"english class! working on interactive orals", neutral
"Good morning", positive
"I would LOVE to learn trapeze! I`ve wanted to do that since I was a kid. Sadly, there`s no place where I live that teaches", neutral
"I just saw Nick`s friend Jose D Fish GH3. ****. Well, on to Star Wars  I`ll probably be going to a MLB game if I get good seats", neutral
"_spn your boyfriend didn`t even say bye!", neutral
"_berra happy birthday!", positive
"yea just fun dive..a bit scary sometimes but fun.  u like diving?", neutral
"17 hours left of being a teenager.. and ill be sleepin for 8-10 of those hours.. how depressing", negative
"showed my fluids decreasing slightly. So doesn`t look like she`s letting me out of this bed anytime soon  I have a follow up U/S next week", negative
"I wish the sun would come out...I guess it doesn`t matter since I`m at work and can`t enjoy it anyways", negative
"LA unified summer schools drastically cut due to CA budget  cuts. Very sad", negative
"Wish my U2 beta key worked now. Don`t want to wait `till Wednesday to play", neutral
"yes mate, on Friday", neutral
"got an A in english again  yay..  but a D- in maths", neutral
"got a super cold!", positive
"My debit card is going the same way as my credit card, it`s snapping", neutral
"Google going down means DoubleClick goes down too, means I can`t get any work done.", negative
"Wow, mosquitoes in the backyard suck.  So does coughing myself half to death in the middle of the night and keeping Cassidy awake too.", negative
"off to bed I go..have a great Mom`s Day all you moms!", positive
"let`s hope so", positive
"http://www.CultureShockMag.com  shoutz 2  the mix on the site is gonna b nervvoouuss", negative
"http://twitpic.com/4wij6 - my oldest nephew playin on my guitar hero drums", neutral
"We got JoJo in for free and free drinks for Mom! My kind of night", positive
"The Disney Store is not treating me to well with hours  I realy want to go on 6/13. I willdo anythig to go to the show ;-)", positive
"my hubby is staying for one more week in Uzbekistan", neutral
"happened about three weeks ago. Why, is there a serial card fraudster on the loose?", negative
"I`m looking forward to going home tomorrow, but I really wish it was for a different reason.", positive
